pre frontal cortex,posterior parietal cortex,pfc,prefrontal cortex,posteriorparietal cortex,ppc
0,0,0,1,0,0
2,0,26,24,0,0
0,0,53,0,0,0
2,0,0,16,0,0
2,0,134,31,0,0
0,0,29,0,0,0
0,0,31,0,0,0
0,0,29,14,0,0
0,1,30,13,0,0
0,0,37,0,0,0
0,0,87,26,0,0
1,0,45,22,0,0
0,0,2,1,0,0
0,0,6,0,0,0
0,0,2,13,0,0
0,0,0,19,0,0
0,1,22,12,0,0
1,0,0,23,0,0
1,0,12,39,0,0
0,0,0,2,0,0
1,0,2,11,0,0
1,0,0,12,0,0
0,0,0,23,0,0
0,0,62,10,0,0
0,3,25,7,0,0
0,0,15,0,0,0
0,0,0,0,0,0
1,0,36,10,0,0
0,0,2,0,0,0
0,0,6,0,0,0
0,0,48,14,0,0
0,0,54,10,0,0
0,0,27,3,0,0
0,0,109,0,0,0
0,0,26,6,0,0
0,0,11,0,0,0
0,0,34,83,0,0
0,0,43,23,0,0
0,0,18,0,0,0
0,0,26,5,0,0
0,0,0,13,0,0
0,0,35,5,0,0
0,0,25,9,0,0
0,0,29,8,0,2
0,0,8,0,0,0
0,0,69,13,0,0
1,0,42,11,0,0
0,0,0,2,0,0
0,0,70,15,0,0
0,2,6,18,0,0
0,0,12,2,0,0
0,0,1,0,0,0
0,0,0,2,0,0
0,0,0,2,0,0
1,0,88,19,0,0
0,0,26,10,0,0
0,0,64,15,0,0
0,0,42,15,0,0
0,0,29,8,0,0
1,0,0,24,0,0
0,0,24,0,0,0
0,0,28,5,0,0
0,0,61,0,0,0
0,0,71,7,0,0
0,0,6,25,0,0
0,0,17,3,0,0
0,0,17,0,0,0
0,4,35,10,0,4
0,0,24,9,0,0
2,0,14,11,0,0
0,0,0,1,0,0
0,0,143,0,0,0
0,0,14,18,0,0
0,0,7,2,0,0
3,0,0,23,0,0
2,0,19,7,0,0
0,0,18,0,0,0
0,0,20,31,0,0
0,0,19,3,0,0
0,0,18,4,0,0
0,0,0,8,0,0
0,0,2,0,0,0
0,0,50,10,0,1
0,0,11,2,0,0
1,4,58,6,0,0
0,0,23,0,0,0
0,0,57,6,0,0
0,0,49,22,0,0
0,0,52,44,0,0
0,0,115,16,0,0
1,0,102,13,0,0
0,0,137,15,0,0
0,0,28,6,0,0
0,1,0,3,0,0
0,0,103,14,0,0
0,0,25,8,0,0
1,0,0,2,0,0
1,0,0,47,0,0
2,1,0,17,0,0
0,0,9,0,0,0
0,0,42,3,0,0
0,0,42,0,0,0
0,0,12,0,0,0
0,0,15,0,0,0
4,0,5,16,0,0
0,0,26,12,0,0
0,0,24,3,0,0
0,0,7,0,0,0
0,0,68,55,0,0
3,0,0,21,0,0
0,0,0,0,0,0
0,0,18,9,0,0
0,0,0,13,0,0
0,0,38,9,0,0
0,0,1,7,0,0
0,0,0,7,0,0
0,1,11,5,0,1
0,0,0,1,0,0
0,1,0,8,0,0
4,1,11,52,0,0
0,0,12,3,0,0
0,0,0,0,0,0
0,0,0,15,0,0
0,0,58,0,0,0
0,0,23,14,0,0
0,0,55,11,0,0
0,0,117,0,0,0
0,1,82,17,0,3
0,0,57,0,0,0
2,0,35,3,0,0
0,0,2,0,0,0
0,0,124,9,0,0
1,0,118,20,0,0
1,0,45,20,0,0
0,0,24,8,0,0
0,0,40,18,0,0
0,0,33,0,0,0
1,0,0,24,0,0
0,0,8,0,0,0
0,0,13,15,0,0
0,0,0,0,0,0
1,0,22,8,0,0
0,0,54,0,0,0
1,0,96,41,0,0
0,0,26,9,0,0
1,0,0,5,0,0
0,2,0,5,0,0
0,0,21,5,0,0
0,0,0,1,0,0
0,0,27,13,0,0
0,0,21,2,0,0
0,0,0,7,0,0
2,0,107,13,0,0
0,0,30,8,0,0
2,0,5,15,0,0
1,0,37,26,0,0
0,0,1,2,0,0
0,0,20,0,0,0
0,0,2,14,0,0
0,0,24,17,0,0
2,3,0,90,0,0
0,0,90,35,0,0
1,1,28,10,0,0
1,0,0,12,0,0
0,1,17,8,0,0
0,0,0,1,0,0
0,0,34,0,0,0
0,0,23,0,0,0
1,0,27,10,0,0
0,0,5,2,0,0
0,0,0,11,0,1
0,0,7,0,0,0
0,0,2,14,0,0
0,0,2,0,0,0
0,0,51,10,0,0
0,0,1,0,0,0
0,0,57,25,0,0
0,1,0,5,0,0
0,0,28,12,0,0
0,0,16,6,0,0
1,0,117,14,0,0
0,0,2,2,0,0
0,0,73,17,0,0
1,0,73,2,0,0
